"do_grid","loglik","loglik_se","rho_value"
473,-1465.06533066864,0.298508628415748,0.309214995658175
513,-1468.8173752303,0.614040563769446,0.326278492804154
34,-1723.77944063133,14.2022591894733,0.12194311448105
38,-1673.11521572138,3.12749183820261,0.123649464195648
465,-1461.82773457144,0.15916927509134,0.305802296228979
33,-1654.45908103662,1.70202960847147,0.121516527052401
351,-1458.73551949028,0.120131575534688,0.257171329362937
37,-1657.72956157382,29.8690903964728,0.123222876766999
255,-1483.32751593408,0.236910885053944,0.216218936212587
266,-1472.74705542592,0.585421870110849,0.220911397927731
65,-1608.97807252065,2.63805762382053,0.135167324769184
479,-1469.4518473462,0.286460587851553,0.311774520230072
209,-1501.28679054303,2.93830513958767,0.19659591449471
208,-1512.57103089307,0.316232538853448,0.196169327066061
475,-1459.23369923784,0.15773392234371,0.310068170515474
39,-1618.13252037914,0.811927236349364,0.124076051624298
210,-1519.49224013447,0.781202525448536,0.19702250192336
480,-1468.89242751892,0.300262598824927,0.312201107658721
472,-1465.014754324,0.317218950633089,0.308788408229525
214,-1513.79734275002,0.691360792887381,0.198728851637958
477,-1465.86434699788,0.294578601401936,0.310921345372773
468,-1460.56526711483,0.285143276457208,0.307082058514927
66,-1618.82447059449,16.9749974140346,0.135593912197834
390,-1459.63218396313,0.265058189235153,0.273808239080267
387,-1462.55715087561,0.38203059679888,0.272528476794319
478,-1463.08075958955,0.160268264255595,0.311347932801422
341,-1474.56249756298,0.16877582118479,0.252905455076443
219,-1520.90941402763,1.43277048539359,0.200861788781205
385,-1461.32842731176,0.231684917109875,0.27167530193702
212,-1530.05366519204,2.88377483060966,0.197875676780659
386,-1457.59944951012,0.395998189060867,0.272101889365669
388,-1458.06617706553,0.254253364776558,0.272955064222968
221,-1509.62237583776,1.59685902784373,0.201714963638504
464,-1457.71512962756,0.328125126207406,0.305375708800329
36,-1689.4830159966,11.9500738119642,0.122796289338349
40,-1657.47606885622,7.34074948966413,0.124502639052947
213,-1507.76716245292,2.47069332351762,0.198302264209308
29,-1661.56876437689,3.26868724518142,0.119810177337803
220,-1525.24218131255,1.84260971168128,0.201288376209855
391,-1457.16439099565,0.171288328377184,0.274234826508917
30,-1674.76103141389,1.65283493776727,0.120236764766452
389,-1458.84889950615,0.136490928038611,0.273381651651618
383,-1458.53159720692,0.208088277409597,0.270822127079721
393,-1459.11541135924,0.119226374453129,0.275088001366216
89,-1577.52786491592,6.28484354993501,0.145405423056772
87,-1608.45866152274,2.9593841692323,0.144552248199473
217,-1533.06790948166,0.810029689580604,0.200008613923906
84,-1592.4115517584,4.75236266224346,0.143272485913524
207,-1520.34534486948,0.592459282578052,0.195742739637411
264,-1486.58811758494,0.226186192452135,0.220058223070432
86,-1574.06932653537,0.731100633502856,0.144125660770823
384,-1457.5751962717,0.177747059280769,0.271248714508371
382,-1455.92084271297,0.206515090391268,0.270395539651072
392,-1460.60150199744,0.185902829247566,0.274661413937566
290,-1473.91263730137,0.253819749127423,0.231149496215319
381,-1457.09878685866,0.109364874875652,0.269968952222422
310,-1468.9687471093,0.125577398197152,0.239681244788308
91,-1581.98270246236,1.01207141908584,0.146258597914071
211,-1514.17195694971,1.45505753421502,0.197449089352009
85,-1617.95438978537,8.20180831144284,0.143699073342174
81,-1587.52141624118,4.18543155717726,0.141992723627576
90,-1583.34266074534,5.09783802650974,0.145832010485421
88,-1571.71340277765,8.33790936871078,0.144978835628122
315,-1465.09011580227,0.330035223343756,0.241814181931556
546,-1465.00119668005,0.225081822265727,0.340355877949587
312,-1463.29529904524,0.118931960676069,0.240534419645607
62,-1639.39469740383,4.98796598131004,0.133887562483236
320,-1464.27963550697,0.206280854057194,0.243947119074803
83,-1608.79126465573,6.82738042627575,0.142845898484875
307,-1469.44951344273,0.195401270366908,0.23840148250236
82,-1604.44245460657,6.41263370872678,0.142419311056225
313,-1462.74989091419,0.115697090559646,0.240961007074257
80,-1622.46129632407,1.58233540207872,0.141566136198926
35,-1671.37951122176,3.66806825113327,0.1223697019097
308,-1481.41560681178,0.531307096244663,0.23882806993101
539,-1468.26284097953,0.227610131242259,0.337369765949041
545,-1467.3882999336,0.194866657697633,0.339929290520938
547,-1464.96706417369,0.371694235708159,0.340782465378237
314,-1475.63991263939,0.330985352780389,0.241387594502906
541,-1468.78898723086,0.35197080103285,0.33822294080634
311,-1474.96681797343,0.355740668531748,0.240107832216958
542,-1464.10255940751,0.668131685966713,0.33864952823499
540,-1465.90218153651,0.14065440370817,0.337796353377691
317,-1472.7697358226,0.252922362889046,0.242667356788855
549,-1467.38218405404,0.328773682902647,0.341635640235536
48,-1606.87308804683,4.70857302218523,0.127915338482143
60,-1634.70873287589,0.729692592181142,0.133034387625937
51,-1617.57465510608,0.901548398654515,0.129195100768091
544,-1467.12856426973,0.323221639003161,0.339502703092288
58,-1594.73933560647,1.04940853392667,0.132181212768638
543,-1464.95212146217,0.254167998742419,0.339076115663639
61,-1758.59199099757,9.01268427394454,0.133460975054586
538,-1464.97901401195,0.225506134536056,0.336943178520392
57,-1611.92237462243,3.81666253049894,0.131754625339988
309,-1470.05519326651,0.255619868596799,0.239254657359659
316,-1468.44757770879,0.162281624897091,0.242240769360205
319,-1476.65172991646,0.349346071328719,0.243520531646154
330,-1466.12210826686,0.199413880101844,0.248212993361298
50,-1678.39061261433,1.19191017447445,0.128768513339442
63,-1633.84165757401,1.03504126927028,0.134314149911885
548,-1468.00947249049,0.344564375469865,0.341209052806886
