do_grid,loglik,loglik_se,value,parameter
81,-1493.322635,1.109630599,1776.550938,beta_mu
582,-1471.594698,0.281324459,151.6958221,beta_mu
79,-1469.617757,0.186745942,1165.503538,beta_mu
979,-1470.476812,0.954145795,143.906919,beta_mu
995,-1470.352198,0.867979233,132.8401299,beta_mu
945,-1461.937546,0.317608644,490.4819301,beta_mu
983,-1460.995615,0.5066071,161.8711733,beta_mu
788,-1466.132099,0.272478581,858.6315241,beta_mu
271,-1465.92879,0.482626907,142.5445087,beta_mu
704,-1465.193358,0.279188301,272.5567036,beta_mu
219,-1460.850574,0.453465491,249.8618012,beta_mu
701,-1458.392502,0.168274272,541.0884121,beta_mu
948,-1459.605633,0.279251031,587.4397567,beta_mu
139,-1459.006914,0.407613741,536.9925937,beta_mu
524,-1463.366203,0.155137113,144.8523468,beta_mu
416,-1469.33342,0.412680361,928.0294519,beta_mu
645,-1461.830041,0.300194253,566.7955922,beta_mu
595,-1470.352198,0.867979233,132.8401299,beta_mu
77,-1488.064945,0.31736839,1556.515206,beta_mu
943,-1458.793448,0.122163055,474.2793928,beta_mu
780,-1460.954842,0.383881609,562.7870764,beta_mu
96,-1461.119964,0.354314673,585.123382,beta_mu
703,-1460.21037,0.261606145,556.1077063,beta_mu
419,-1460.850574,0.453465491,249.8618012,beta_mu
129,-1457.007114,0.327077657,534.937132,beta_mu
656,-1456.051858,0.258402416,476.3577268,beta_mu
560,-1466.463006,0.497700866,277.5974005,beta_mu
142,-1468.947551,0.131096359,131.8954166,beta_mu
786,-1461.93835,0.218757698,283.9294477,beta_mu
466,-1460.531727,0.56097622,74.94974246,beta_mu
727,-1466.775956,0.169621018,216.4556466,beta_mu
922,-1459.321361,0.33901012,530.4245389,beta_mu
657,-1464.395994,0.307913846,691.9655389,beta_mu
776,-1461.41284,0.119766979,776.4630314,beta_mu
410,-1459.655098,0.42285073,566.4333241,beta_mu
920,-1467.046659,0.264690012,770.5655081,beta_mu
277,-1488.064945,0.31736839,1556.515206,beta_mu
414,-1470.79941,0.714366183,525.4688042,beta_mu
866,-1460.531727,0.56097622,74.94974246,beta_mu
150,-1464.876327,0.230151469,234.7092648,beta_mu
78,-1474.527009,0.449116578,448.0231875,beta_mu
928,-1463.61034,0.224235017,856.9439519,beta_mu
95,-1466.347409,0.214145062,706.2123046,beta_mu
75,-1476.996956,0.356540731,1183.349465,beta_mu
978,-1460.356138,0.126565382,244.4449242,beta_mu
630,-1471.488285,0.347303835,99.33868232,beta_mu
161,-1467.032412,0.321471291,181.6025797,beta_mu
861,-1471.88547,0.580758319,20.3508541,beta_mu
110,-1477.625887,0.49258534,471.7412395,beta_mu
221,-1480.082258,2.10168371,1038.802263,beta_mu
785,-1464.269983,0.406232543,364.3613112,beta_mu
412,-1460.029594,0.182562887,319.5921225,beta_mu
651,-1456.539244,0.109323903,322.4703241,beta_mu
953,-1461.570927,0.268781756,650.3837727,beta_mu
702,-1463.612791,0.362725412,510.8307071,beta_mu
468,-1481.567575,0.726632902,1080.410458,beta_mu
917,-1462.711659,0.310152365,610.99994,beta_mu
217,-1461.370194,0.256120684,695.4643215,beta_mu
112,-1461.953379,0.236745571,560.59932,beta_mu
584,-1468.888475,0.164006725,130.1124245,beta_mu
9,-1474.901963,0.180569874,64.59146861,beta_mu
