"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","E_0","I_0","tau"
496,-680.272659492701,0.0311172774809503,401.701903962406,0.106123911630431,0.506101946687621,-1.59233621254131,-18.2437255559822,-11.0685922633388,-0.191717938807405,-7.99219589219792,13.1481402808145,0.289045275501883,0.244225305000064,5.14937973066927e-06,5.3509199359332e-06,0.0209215629131462
81,-777.184140696061,1.91922598571628,384.02355208639,0.000123209012161561,0.353230416149732,0.403554207288791,-4.17494259005369,-11.2975934775999,-0.246411074254273,-10.4106811828028,6.7246381224053,0.453938881057875,0.120287445053828,1.02024893122079e-05,1.03490827062142e-05,0.128453859329882
753,-681.890148933024,0.0471833880093945,376.172260659657,0.120373836985368,3.72191641070813,-14.9387433132466,-8.58683500458272,-7.37574737908306,-12.2664772466101,-2.81203593543348,10.5068429679032,0.290507017848092,0.243743674336333,4.3195804099369e-06,2.55480154974771e-06,0.0134306952828867
323,-776.642210555892,0.462588093113667,796.611797597483,0.096979904075649,-1.60293890808538,-24.4492998031907,1.48590750428233,-6.89079190021171,-8.57146945236697,-3.83157679043462,4.69083365436692,0.974123964317797,0.0255261796016036,6.10720444767568e-06,8.83262625311861e-06,0.0188885616726727
376,-777.037498140124,2.07566849958392,3232.7536365738,0.689911221283868,5.59574229095348,-6.08743000256458,-0.723412048770505,-0.601333131279122,-3.91055898624471,-11.0390319602828,15.8601724995319,0.618029961088865,0.00443372979371012,3.8548146320568e-05,5.93436387551957e-05,0.468034748864542
495,-705.042575790869,0.0347673457267221,239.279893326886,0.0710772762966316,1.37838610011392,-1.51196464546346,0.219483247875081,-13.5233415485683,-1.46141889180048,-1.2930185869272,16.011024897462,0.306357924772488,0.259113204314426,5.13968302162545e-06,2.45593932414769e-06,0.0257401085390928
625,-683.654531484506,0.0474942814290365,587.038068975118,0.159601795349687,0.968438978481774,-16.8232423616008,5.48162274137718,-15.5863900135124,-17.1380592602464,-6.43284025025862,7.41405291105833,0.512007387500186,0.107906200459085,3.76760521623689e-06,1.16005954678374e-05,0.02929898592054
165,-667.21423299401,0.077355945826242,320.768172594054,0.0734095434532795,0.234864622271104,-0.151528926719576,-1.57549417476384,-15.0869498596801,-16.3004576626973,-0.749533953612739,10.2787604717445,0.317377386977435,0.232050211877375,4.06897907526694e-06,2.85103457936387e-06,0.0621302567506329
335,-862.190212350109,2.63638707423709,968.641818202359,0.233660479806712,0.695389632423978,-6.19880305734317,-6.39969769159006,-2.91620339980539,-1.64157150499444,-5.37740110299913,7.83747740909022,0.976910672415975,0.0134769377658897,1.16994717299875e-05,9.54682576285311e-06,0.0425786027038126
853,-670.263529028128,0.0387944648262865,162.790802481044,0.076667261531047,0.744382600471887,-0.00487938461829574,-0.553862076028836,-14.7294156770719,-6.37765890914374,0.986547453769883,12.6408426219611,0.279429997243457,0.356456090354255,1.21908910218584e-06,1.45963654316869e-06,0.0116894877940662
593,-576.982585590635,0.0601174726436305,322.205798293294,0.0460034698816131,-0.460194212097048,0.692847168898913,-8.58801861190717,2.43600112331044,-25.7163247911219,1.2609476625031,6.72710980863885,0.428200996231735,0.172836407473928,3.83789146226199e-06,1.63425901621371e-06,0.0255099063384206
