"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","I_0","tau"
717,-1054.79665326594,0.0216420252930735,452.947377419425,3.6251414205062e-06,-0.719241275591603,-0.0668469826831622,1.06483710976919,-3.34532441113435,-1.05277822116515,-0.0454417754112937,17.3148007228416,0.168573872204187,0.0327429550891843,1.4636367367927e-05,3.26500054281831
966,-979.395640396676,0.10674113069568,499.586439191891,0.0460435404861032,-1.91718257870545,0.43501014258833,-0.191152232642258,-3.42477637227953,-10.9570171767825,0.307684538465181,14.3774342942707,0.153584101856238,0.0396320192510096,3.59224550557855e-05,1.06109440192539
513,-1229.17431416613,0.0124867672128809,3902.21548402583,6.93728497306247e-06,-10.0920802539574,-1.06650978102858,0.362952580636547,0.68741610012683,-3.60042511990181,-0.970980941533262,10.5487715417257,0.181515458128244,0.474692454004898,0.000716030948730957,10.6153043409001
425,-1139.36806710972,0.0154068479886457,459.104792361762,0.00133501840059229,-1.0264552576874,-0.19415432956541,0.779728194649678,-4.02401701146877,-2.25418384798313,-0.0952492480537495,19.5661129899909,0.149225463579689,0.0392669853493617,1.09465508154567e-05,6.46184674061051
967,-1134.01785054666,0.0209211352936591,488.951771146403,1.37031306636663e-05,-0.844308439080424,-0.528644548934872,0.958840722073816,-4.92414792958069,-3.48768450241302,-0.122437036785739,17.002733278987,0.158029782820955,0.038019900160341,5.56171028240324e-06,6.21135116987872
420,-1155.16031580267,0.0118532393982774,435.394079253813,1.02609629741186e-06,-0.729248009632963,-0.364599214416997,1.06320713954562,-4.04801180411401,-1.99758051670996,-0.0911121098952731,19.0775525211542,0.155830888037325,0.0412255602947586,4.34079490785954e-06,7.20242632271098
194,-1059.13303833822,0.0209932822953744,469.407066732605,0.00415926923733453,-0.636097470936771,-0.407462009660548,1.32692089050092,-4.54352573037637,-1.53701769934063,-0.137534956347716,16.4337224587269,0.181863566429187,0.0354177696047102,1.85746808221686e-06,3.40640704708164
531,-1001.34465065953,0.0404436766261575,485.715349550468,0.000875645647918037,-0.612158902882241,-0.542552003954914,1.43726874314161,-5.13134986326059,-1.12377536026294,-0.504767107714456,17.5244444901496,0.180805955042049,0.0323593545264037,1.87875865211785e-05,1.72552624546352
28,-1028.64056656619,0.0263633725552937,142.024970714999,0.00014807922442293,1.24148442918306,1.72483172461249,2.11585903208865,0.418173407569661,1.13173555610213,1.63075662518645,12.9487790908416,0.185282638885696,0.0321233398354142,1.96694311570939e-05,2.4615997827875
419,-1153.78875038418,0.0170931837649372,400.401647524497,0.000114797304834039,-0.531807107513434,-0.0181889103003262,0.806011345385853,-2.95115841857007,-1.60507591855664,-0.114911318250146,20.0521143353314,0.152257302971192,0.0409513693412824,3.28786660106142e-06,7.14657416196071
