time,med,upper,lower,week
1996.59289617486,30.374271928416288,69.45643041657529,13.257444890736387,83
1996.61202185792,30.42314038284168,69.22087088210269,13.39549916243739,84
1996.63114754098,31.388813806883263,72.18433067662316,13.649407468209422,85
1996.65027322404,30.521898896199367,69.07869884899932,13.42145966073521,86
1996.6693989071,30.64688961774193,69.235043768521,13.258892683894723,87
1996.68852459016,20.142433250945416,50.538315512075805,14.804202644398337,88
1996.70765027322,28.79936448771356,65.47121481855184,12.786998690113343,89
1996.72677595628,29.741571234787088,66.80439523293387,12.979838587049803,90
1996.74590163934,30.17386153624667,67.58669215529231,13.200610733682542,91
1996.7650273224,35.645388314776056,87.30724665037573,14.8058154561956,92
1996.78415300546,32.56963321280264,75.90904507319152,14.273527732910452,93
1996.80327868852,29.266326918990323,66.3505979605565,13.17281989498704,94
