"do_grid","loglik","loglik_se","value","parameter"
353,-7670.27225615221,1.11630415211096,0.384,"rho"
42,-7762.71397038339,5.64340136356728,0.315,"rho"
376,-7323.01704213809,2.50000782885917,0.529,"rho"
401,-8052.34369735538,62.9044059308223,0.057,"rho"
44,-7633.58838336753,40.5708250418043,0.328,"rho"
96,-6926.80405858928,35.3566856996843,0.655,"rho"
176,-7333.7332307642,2.61975156385809,0.529,"rho"
363,-7229.40106662062,39.3474435155598,0.447,"rho"
377,-7231.49870178665,23.7805911894236,0.536,"rho"
164,-7530.60854073746,12.8598362410463,0.454,"rho"
41,-6511.50133684611,58.9924252464755,0.309,"rho"
140,-7825.85801302757,31.8754685029693,0.303,"rho"
35,-8283.10833637536,9.584971059448,0.271,"rho"
139,-7962.716616372,2.31384346114259,0.296,"rho"
31,-8217.30735127961,15.5196003969576,0.246,"rho"
57,-7451.20974181758,3.25740801575812,0.41,"rho"
34,-8123.87874963084,3.94286954936685,0.265,"rho"
160,-7118.03720032806,41.4530575030642,0.429,"rho"
58,-7211.73133935477,2.89060634737983,0.416,"rho"
51,-7989.55386796913,7.60960728147612,0.372,"rho"
30,-4750.84150472942,14.677000437721,0.24,"rho"
67,-7313.60423986149,42.8240566616782,0.473,"rho"
382,-7212.78203803361,30.4952785649867,0.567,"rho"
72,-7016.42168249325,7.35240086623705,0.504,"rho"
387,-6800.89135262593,12.2629769966479,0.599,"rho"
272,-7239.50806077445,13.6001483006946,0.504,"rho"
40,-7923.25866920291,51.1267993808307,0.303,"rho"
242,-7594.59702381333,5.06573567089098,0.315,"rho"
37,-7831.70980013923,11.3375141230822,0.284,"rho"
316,-4783.596878189,12.5651172825535,0.151,"rho"
399,-6670.03084328793,15.6509380153859,0.674,"rho"
217,-4884.83835972615,1.95851682457903,0.158,"rho"
266,-7504.78279467318,6.54406428911255,0.466,"rho"
126,-6011.86107879912,24.0882297230975,0.214,"rho"
306,-3915.49453902409,31.6274079613534,0.089,"rho"
216,-3748.45974969893,3.31052855570867,0.151,"rho"
219,-3514.44107969748,5.56621998274687,0.17,"rho"
124,-2780.73630748068,29.7046522698029,0.202,"rho"
123,-6169.35606124765,40.7957959329459,0.196,"rho"
211,-5758.01925275607,0.910110808371431,0.12,"rho"
108,-6007.92264031906,18.6513063137721,0.101,"rho"
106,-6060.60662507825,50.7839877293789,0.089,"rho"
112,-3569.88785083932,1.19279000520213,0.126,"rho"
208,-5827.8156448247,6.98409928787031,0.101,"rho"
101,-10251.0870820743,51.4214185561013,0.057,"rho"
483,-6830.60418267043,51.3765657030604,0.573,"rho"
333,-5136.40919213392,1.59270782272726,0.259,"rho"
334,-4814.24931052428,21.0928516105456,0.265,"rho"
194,-6829.1216284784,6.81587116862108,0.643,"rho"
300,-6276.57001719245,27.6213134603085,0.68,"rho"
327,-4612.63669762404,11.995119367397,0.221,"rho"
297,-6753.19973343757,22.222334138482,0.661,"rho"
192,-7168.68938238382,17.9909497111575,0.63,"rho"
286,-7091.24933227052,5.13406514651831,0.592,"rho"
469,-7044.31235017298,11.5023503787285,0.485,"rho"
470,-7475.20428835618,2.72301861761878,0.491,"rho"
283,-7081.12463957776,29.280763310792,0.573,"rho"
304,-6916.82870908354,4.4302276728958,0.076,"rho"
275,-7219.63685647497,0.989940171620204,0.523,"rho"
337,-7995.7451132674,10.7389304713511,0.284,"rho"
416,-5042.19399227213,9.4991255565019,0.151,"rho"
273,-7049.36455104277,33.6718556978388,0.51,"rho"
409,-6091.06453568242,9.69624076178947,0.107,"rho"
75,-6852.39590166537,29.7181103638504,0.523,"rho"
201,-9981.70404112165,12.178640013429,0.057,"rho"
98,-7042.69976757828,3.21795138846625,0.668,"rho"
365,-7305.73036869778,2.43467535952809,0.46,"rho"
358,-7574.3910863069,15.3086782377268,0.416,"rho"
394,-7046.04192206074,18.1636911590682,0.643,"rho"
370,-7126.06702795378,12.6828073590116,0.491,"rho"
478,-7247.51414388163,10.951341396129,0.542,"rho"
182,-7191.74961103041,11.9644992176218,0.567,"rho"
181,-6758.43699308541,7.37831378020284,0.561,"rho"
