"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","E_0","I_0","tau"
427,-1455.91873955485,0.0930589266970404,1491.90951114574,0.144129528765153,-15.0766992058404,-2.75251701783146,-0.705838193715028,-14.2342844399721,-4.53377508197531,-11.2776942883413,13.8257391091399,0.250458011854253,0.112790062103659,5.66419924174326e-06,5.86048352713119e-06,0.0523628929047058
441,-1451.23426050266,0.320851603097792,349.480203867468,0.0933302167457916,1.3184331470838,-0.191724803543309,-2.21296979885721,-10.2012934386697,-6.33303884018861,-3.69559280990734,9.72745739231677,0.406332926514394,0.125649454815187,4.08232526912322e-06,3.68933741036623e-06,0.0247452830075021
994,-1426.90100734625,0.0876072423261811,677.872888718278,0.0829394664971296,0.911084834537063,-0.378542295519148,-1.93879188943721,-5.2041215750587,-5.17458647238746,-4.583336391716,9.7107383811152,0.307136915703663,0.110485148919051,4.2719515349987e-06,1.95099068703437e-06,0.0455236675344653
978,-1450.43629247047,0.1996028090178,353.822394576338,0.0920200572007235,-0.22970165678589,0.840978232801148,-5.18564571172066,-3.5586992753068,-14.5297719387377,-0.380667639849346,7.30811837005316,0.561337533266273,0.115489140568288,4.28279082411094e-06,9.57299367631737e-06,0.0310285732348917
998,-1427.53484918956,0.0612869452792489,624.199762640908,0.11286554526063,3.17610666614207,-1.7978901343257,0.0656234540624468,-8.00065432803256,-6.63570406105569,-11.001394217576,20.3055930095689,0.244067095038067,0.146235342935718,3.06818060018219e-06,4.15432295547878e-06,0.0285331551309806
995,-1431.22859608062,0.229384631180666,518.355411722936,0.0781833973949077,1.29136853825388,-0.703803917135082,0.0318275455639917,-7.93952657201685,-7.81265323678513,-2.31658523900266,13.9592612780791,0.243309199269093,0.135628130768113,1.108919694969e-05,1.48027663655172e-05,0.0533494405905932
431,-1433.33012404231,0.16648629434356,264.556383071594,0.0848406931639826,0.938642985035476,-0.321525154227558,0.138330373868507,-7.99266492422836,-1.81413437970464,-0.917390592815255,13.2635555821344,0.346780153070401,0.171149371283515,7.06066041784106e-06,7.9937487955988e-06,0.038564438385907
435,-1424.76166069634,0.128528432283974,273.274138104822,0.0860178214453649,1.32357019959905,-0.428592293780374,0.823030503399569,-4.92308164802899,0.690406350545515,-1.57518410260286,12.8044323151807,0.29535373342601,0.167230685717965,7.08032135599749e-06,7.801178448918e-06,0.0346478539045324
425,-1436.74138046238,0.237354949346685,212.993891104234,0.096659467885918,1.62909337953788,-0.904755664499149,0.112618474909422,-4.81765460987278,-2.23953452451312,-2.9442725949478,18.6871409284576,0.269348136129313,0.237913224067892,1.18406056305714e-06,4.2150717481264e-06,0.0437793480567236
990,-1421.87163230947,0.10712260607854,367.186536681876,0.0831251658286272,0.836054326601415,-0.485963095345641,-0.494622993839101,-3.58484176375172,-10.3806555925029,-1.8983306325315,15.3288509226846,0.247897018792656,0.192300924782059,2.93994908683395e-06,5.55417545601191e-06,0.038371225705419
992,-1438.91209449166,0.392844493681062,487.268536879817,0.103650575853091,1.44327464545722,-0.590353719850408,0.726963371614684,-9.51684991630605,-0.27802577026326,-3.40991889373776,11.7106902343891,0.287480270790993,0.106997747905455,7.70303161413603e-06,4.51500463570565e-06,0.0408047035795731
418,-1426.21891558531,0.124559932018382,103.320024921172,0.110052949089874,0.849433754732475,-0.254371279087367,0.807210879279901,-9.12905270454372,-2.87479485991608,-1.5494021756089,13.9817132746233,0.434535188923493,0.497166153248763,1.41900171469524e-06,4.86307537898342e-06,0.0163306643369719
556,-1503.62218992039,0.54023430978758,1077.29039376813,0.146801104412272,-22.4824489057002,-6.88573018106558,-8.84138391307522,-14.8472692501609,-9.47888979869769,-1.01754006733585,13.3764048462551,0.312437368698216,0.0581059625291961,4.58830437037718e-06,1.49869990931459e-05,0.0188009042879979
433,-1429.54685490176,0.248896756786238,443.322989277639,0.0952759089379225,1.39328442927752,-0.804151657690337,1.09656082736462,-14.2378271326046,1.41375819540044,-3.01214413917574,15.2855632591335,0.261401413933894,0.133300999764364,2.79682581916794e-06,2.93401567376655e-06,0.0332100416290557
430,-1436.36745841975,0.329527644599204,308.469215788199,0.0866330700223229,1.6784958438045,-0.392185871437368,0.326356065287276,-6.15575640096402,1.09394113008754,-2.52674776918045,6.00999093485051,0.261318819490071,0.160249137195549,7.99301033445411e-06,7.63878701938047e-06,0.0412139634937311
982,-1451.57771830352,0.458554677969329,438.519774548905,0.0929518453634399,2.93692791757318,-2.13635944145214,1.10936153925481,-9.6406138780113,-0.152680915664815,-8.52901161385229,9.20918407230865,0.349883946312594,0.107065563276781,1.85640388288288e-06,2.91822492849653e-06,0.0340253109777165
