Parameter,median_value,upper_95,lower_95,upper_50,lower_50
Rnaught[73],1.984534744911571e-6,3.1314398804354313e-6,1.207889392647997e-6,2.313853503067457e-6,1.6886129071115391e-6
Rnaught[74],1.951127036593912e-6,3.020653304279081e-6,1.1645018362197247e-6,2.2866069270667687e-6,1.6531658917656506e-6
Rnaught[75],1.9156525427396624e-6,2.956832491797971e-6,1.1636881886216374e-6,2.2294512100216995e-6,1.634228796744896e-6
Rnaught[76],1.8895273308737197e-6,2.908753627669186e-6,1.1443829323330238e-6,2.1832258805148406e-6,1.6129128568122825e-6
Rnaught[77],1.8544304578872122e-6,2.8241533333079905e-6,1.1397374314188603e-6,2.1471097721854698e-6,1.591313667502992e-6
Rnaught[78],1.83487926289106e-6,2.7493830990319214e-6,1.1151033792809784e-6,2.1149061027233426e-6,1.5726404904603075e-6
Rnaught[79],1.807987153071078e-6,2.718250684489807e-6,1.0989561358989336e-6,2.0886183765857135e-6,1.554203672878189e-6
Rnaught[80],1.7962738901725724e-6,2.7089497720928566e-6,1.1103397309798953e-6,2.078251523477063e-6,1.5467219050379552e-6
Rnaught[81],1.790485338504747e-6,2.7106521872026446e-6,1.1179259509250303e-6,2.0714756301668535e-6,1.5409165465296122e-6
Rnaught[82],1.7962549443968139e-6,2.739240501924367e-6,1.1256101729114906e-6,2.0798096808375254e-6,1.5448289649205228e-6
Rnaught[83],1.794722630396539e-6,2.73373645731015e-6,1.1201052772076148e-6,2.075196286207588e-6,1.5483398229626151e-6
Rnaught[84],1.8086018876493542e-6,2.758270169005045e-6,1.1162477711866763e-6,2.0919288404394024e-6,1.5518415222112157e-6
Rnaught[85],1.8269553140240663e-6,2.8207089091354494e-6,1.1269426337694175e-6,2.117121366296107e-6,1.5700746803752573e-6
Rnaught[86],1.8327308604200805e-6,2.8098632171783253e-6,1.1244054956666957e-6,2.1267484175959674e-6,1.5717048212087184e-6
Rnaught[87],1.845192800365927e-6,2.8398128658566043e-6,1.1126986344749266e-6,2.1432229518353426e-6,1.576283680532885e-6
Rnaught[88],1.8373499153002186e-6,2.872364355949316e-6,1.0812459584809023e-6,2.1546743987053967e-6,1.5623991547911086e-6
Rnaught[89],1.846493863621034e-6,2.903610024635407e-6,1.085919546287033e-6,2.1634043890250557e-6,1.5545238151835501e-6
Rnaught[90],1.8288779918272864e-6,2.9104963473232573e-6,1.0477576364214247e-6,2.1591460542024686e-6,1.5377257278170168e-6
Rnaught[91],1.8062096878766802e-6,2.9249365105348334e-6,1.026454232202871e-6,2.141371437003943e-6,1.5048143236869773e-6
Rnaught[92],1.765914396176388e-6,2.8873451365251152e-6,1.0096975811070144e-6,2.100038515689426e-6,1.47554334572679e-6
Rnaught[93],1.7251471323021617e-6,2.849897498530001e-6,9.690056411774307e-7,2.058146817316891e-6,1.4339133461391214e-6
