Parameter,median_value,upper_95,lower_95,upper_50,lower_50
beta[1],9.660168591867215e-6,1.2642546571013989e-5,7.00930602521527e-6,1.0663701161339e-5,8.733471560887912e-6
beta[2],8.706890682526447e-6,1.0976094935587438e-5,6.584056410346313e-6,9.442221307504815e-6,7.981339880211352e-6
beta[3],7.677879111045946e-6,9.6168099156761e-6,6.059127089443257e-6,8.320087196300124e-6,7.087809404059066e-6
beta[4],6.45087513835679e-6,7.892852415496451e-6,5.270255996492101e-6,6.889220014736794e-6,5.981051919828086e-6
beta[5],5.209800434641007e-6,6.811044675887257e-6,4.166881375485951e-6,5.702120368042667e-6,4.804266096888568e-6
beta[6],4.247877628158243e-6,5.646646347500103e-6,3.0818815606880314e-6,4.6461360008968355e-6,3.834833922321751e-6
beta[7],3.3850616447130084e-6,4.446016900963828e-6,2.641416199928543e-6,3.6967601677435958e-6,3.0924612978833488e-6
beta[8],2.7408166499196176e-6,3.5075041331746636e-6,2.0929167454732356e-6,2.9937116955181504e-6,2.5155165296235687e-6
beta[9],2.3214544631472052e-6,3.0605743550488105e-6,1.7134348452673342e-6,2.5363746923682527e-6,2.119795060612477e-6
beta[10],2.0909131645798894e-6,2.8295361576595875e-6,1.3961113603055534e-6,2.3174189946201117e-6,1.8662759725676632e-6
beta[11],1.9193755572383753e-6,2.732858083026287e-6,1.2124553981168897e-6,2.1767097379361653e-6,1.6739322957288915e-6
beta[12],1.7832145714314095e-6,2.666064557101636e-6,1.101841482748798e-6,2.0445038474978154e-6,1.542535320937713e-6
beta[13],1.7091766248935215e-6,2.6534418123553163e-6,1.0318517324408119e-6,2.0071452965171935e-6,1.4558813306003763e-6
beta[14],1.6722042908384893e-6,2.7186227852014957e-6,9.968476352926997e-7,2.0018249480884827e-6,1.4164578507181432e-6
beta[15],1.6674062357007476e-6,2.629397564700804e-6,9.75455827648751e-7,2.0190203490458267e-6,1.3955607775024567e-6
beta[16],1.7080685245285777e-6,2.6777665559306545e-6,9.414423295233861e-7,2.0453918836315006e-6,1.4056244478394677e-6
beta[17],1.7709584113560724e-6,2.7937760118541274e-6,9.594469207432994e-7,2.122379222012911e-6,1.446345839322683e-6
beta[18],1.861322288739391e-6,2.923587399839978e-6,9.909688057175546e-7,2.2253815510571866e-6,1.5157441066052796e-6
beta[19],1.956443596926602e-6,3.1022767000464836e-6,1.0163433491215148e-6,2.3458877884474083e-6,1.58978420694232e-6
beta[20],2.071098048655905e-6,3.357884879130586e-6,1.015931340467471e-6,2.5118846908341256e-6,1.6694801038734602e-6
beta[21],2.2065627709695194e-6,3.6081606998754745e-6,1.0708352771821586e-6,2.6626288455093913e-6,1.7582043917084955e-6
beta[22],2.3266101187008642e-6,3.9202365135868125e-6,1.1494285325466549e-6,2.8296311882550764e-6,1.8792585453324734e-6
beta[23],2.459900071059617e-6,4.181360007204827e-6,1.2205965242265941e-6,2.997400628164064e-6,1.9890405161968767e-6
beta[24],2.609712022288338e-6,4.413188547489992e-6,1.3232807561749485e-6,3.1488349806917588e-6,2.123493426715109e-6
beta[25],2.732197494523211e-6,4.63482690336321e-6,1.4048683943915768e-6,3.330221541191461e-6,2.22096990176673e-6
beta[26],2.8462600463924425e-6,4.735564657000496e-6,1.5199775492429994e-6,3.4320300924077505e-6,2.325114774455315e-6
beta[27],2.9397656885074518e-6,4.819331117656946e-6,1.6045525036866564e-6,3.518736608374486e-6,2.4333476045060043e-6
beta[28],3.0160796854344226e-6,4.776535507407154e-6,1.6936635946009956e-6,3.579371209452713e-6,2.5181314105960997e-6
beta[29],3.053281186183002e-6,4.707764473023541e-6,1.7795919163951898e-6,3.5692674991123625e-6,2.567650492756593e-6
beta[30],3.0489586608154864e-6,4.539066924223204e-6,1.834305860231053e-6,3.4966987706160525e-6,2.595938000393135e-6
beta[31],2.990112359655966e-6,4.446909890461602e-6,1.8213998619368295e-6,3.4431764968416244e-6,2.5638184361352884e-6
beta[32],2.894967895068816e-6,4.2658501109622e-6,1.7925287764872322e-6,3.3400574611795034e-6,2.5107940243855487e-6
beta[33],2.7840011966382085e-6,4.114202187634922e-6,1.7280213172306616e-6,3.2157844808441e-6,2.3865107586299784e-6
beta[34],2.649508011801868e-6,3.963133162301881e-6,1.6459065570943914e-6,3.067040075607685e-6,2.265274096329828e-6
beta[35],2.5020654722672243e-6,3.7948905500835764e-6,1.5575734104289684e-6,2.90815764748012e-6,2.135000081477444e-6
beta[36],2.3591620617770643e-6,3.689433805991726e-6,1.4448330407447363e-6,2.767461128486362e-6,1.9972206794130635e-6
beta[37],2.2183948435163846e-6,3.5271857525123256e-6,1.3249288617916497e-6,2.621504924844308e-6,1.868035168708091e-6
beta[38],2.103717002053994e-6,3.4513086433197863e-6,1.2365626478837695e-6,2.5006836662963775e-6,1.7562743602270018e-6
beta[39],2.0066991626562162e-6,3.3031548912423543e-6,1.164042881234546e-6,2.395304576636552e-6,1.6644021931214066e-6
beta[40],1.9482430610959524e-6,3.26867279537939e-6,1.119291526684607e-6,2.3388795624732885e-6,1.599677822166129e-6
beta[41],1.91283845842722e-6,3.2645743789358334e-6,1.0786033223208657e-6,2.299672493836917e-6,1.5732660486352818e-6
beta[42],1.914896741108476e-6,3.2562165069529483e-6,1.048324027296737e-6,2.3137682569418314e-6,1.5744449728916587e-6
beta[43],1.95329349336939e-6,3.2607850887247336e-6,1.0666412115593414e-6,2.341128759612027e-6,1.615583294742709e-6
beta[44],2.0139460385358346e-6,3.3031086147658934e-6,1.1079827626386586e-6,2.4006769414327024e-6,1.6641211863946897e-6
beta[45],2.0665554993511666e-6,3.3161533156136308e-6,1.1485313128093611e-6,2.4529950868033547e-6,1.7208584748894223e-6
beta[46],2.1312023576125666e-6,3.307215745152667e-6,1.2046734425830334e-6,2.512334388336984e-6,1.7824856728000667e-6
beta[47],2.201009607866993e-6,3.3954880228827493e-6,1.2698428956412037e-6,2.5809677759291664e-6,1.8561669250630475e-6
beta[48],2.2795680190507765e-6,3.514962129399959e-6,1.3460385607912702e-6,2.6652292078929736e-6,1.9242434309646222e-6
beta[49],2.3611480087881945e-6,3.5857183986298197e-6,1.3975739016288255e-6,2.738243799734776e-6,1.9999766511004293e-6
beta[50],2.4370786197488665e-6,3.679837835372619e-6,1.4595854070217845e-6,2.8298788093490965e-6,2.076529190466468e-6
beta[51],2.5122603739182936e-6,3.7497342405964857e-6,1.5348443762949038e-6,2.9104469579451944e-6,2.142905946678227e-6
beta[52],2.599076247270091e-6,3.864904545237254e-6,1.629279016549569e-6,2.9907272362898963e-6,2.233580363569851e-6
beta[53],2.675063511081046e-6,3.973372401256057e-6,1.6907768332977119e-6,3.078456648995523e-6,2.300976763721448e-6
beta[54],2.7203275157089306e-6,3.993023256814145e-6,1.7216824219505089e-6,3.1168807930473414e-6,2.3437420294046653e-6
beta[55],2.7392504129813595e-6,4.064380986028481e-6,1.7552253213948372e-6,3.132916935169252e-6,2.372849145155663e-6
beta[56],2.7260651785869427e-6,3.9805509666985945e-6,1.7683154870208485e-6,3.1113608960833036e-6,2.3758330280364234e-6
beta[57],2.6658952010165726e-6,3.9136135745896734e-6,1.7290479668419597e-6,3.0538097708796454e-6,2.3272753747140818e-6
beta[58],2.5968368322899835e-6,3.8034421367495135e-6,1.7042044151574934e-6,2.9543104807471734e-6,2.267811648125448e-6
beta[59],2.4809969713395126e-6,3.646353203448401e-6,1.6469721151640995e-6,2.8240576244460393e-6,2.1668070293413608e-6
beta[60],2.376678698164333e-6,3.509287788816975e-6,1.5546586051742082e-6,2.7027424536001196e-6,2.0728961846531295e-6
beta[61],2.2465242614057726e-6,3.3385807779267707e-6,1.4765468643347806e-6,2.5610966443570464e-6,1.9575082630971673e-6
beta[62],2.119125050465702e-6,3.187264297966066e-6,1.3815267592360446e-6,2.4370226415821886e-6,1.8401366328407665e-6
beta[63],1.9907533002214407e-6,3.0260938669045284e-6,1.2713996013361399e-6,2.3072424287659527e-6,1.7184551287954143e-6
beta[64],1.893054880932011e-6,2.896162056901725e-6,1.1843843978178703e-6,2.205357313463152e-6,1.6197073348247008e-6
beta[65],1.8055777756662821e-6,2.8526191469327813e-6,1.1290741231188366e-6,2.122871017680694e-6,1.5406219561929127e-6
beta[66],1.7662169477431008e-6,2.80357347128304e-6,1.0833525534579225e-6,2.0823489299129e-6,1.4928773744110969e-6
beta[67],1.7273908893523984e-6,2.771950783437068e-6,1.0550459670671156e-6,2.0431685415274795e-6,1.4542450012713068e-6
beta[68],1.7084535371223528e-6,2.726157901927518e-6,1.0175466400411914e-6,2.023061731868565e-6,1.4357101700975175e-6
beta[69],1.7151024902692722e-6,2.7392694213515857e-6,1.001560888119915e-6,2.0261800574465377e-6,1.4455477901148582e-6
beta[70],1.739534271380847e-6,2.7748842065075527e-6,9.952389186551043e-7,2.0497842603718592e-6,1.4613539425102153e-6
beta[71],1.7898313683119168e-6,2.8590168775686913e-6,1.0316657835525514e-6,2.110652242139367e-6,1.5073536875472764e-6
beta[72],1.8501454408106247e-6,2.940947118616056e-6,1.0625065845350097e-6,2.1902508692557053e-6,1.5597612318720697e-6
beta[73],1.92869485984923e-6,3.083788641795405e-6,1.1271075149904402e-6,2.2593919565478782e-6,1.6183621962695404e-6
beta[74],2.0001644597779204e-6,3.1172943927763343e-6,1.1611562252024946e-6,2.349183777274799e-6,1.671928091037836e-6
beta[75],2.0581075974555557e-6,3.168450438966076e-6,1.21195818572045e-6,2.402490824380844e-6,1.7394577557598828e-6
beta[76],2.11605773552371e-6,3.2434497037181295e-6,1.2621856237892412e-6,2.4617692950293637e-6,1.7841489825020974e-6
beta[77],2.149254046046471e-6,3.2646015440470655e-6,1.3034011529408196e-6,2.5013516458552108e-6,1.8221451557983788e-6
beta[78],2.173166366504906e-6,3.269686883200913e-6,1.3146773008476277e-6,2.5260972102620158e-6,1.8527560940306504e-6
beta[79],2.1810338948950986e-6,3.2484326879114453e-6,1.322973877682667e-6,2.5279793064388718e-6,1.8636245862461862e-6
beta[80],2.185501346901793e-6,3.2350532919953978e-6,1.3447386980662138e-6,2.525146946526166e-6,1.8667194776562137e-6
beta[81],2.1659003132048702e-6,3.2358883021961948e-6,1.3434829874018904e-6,2.5042607078239506e-6,1.8581058617890409e-6
beta[82],2.139089544843083e-6,3.196354020922615e-6,1.3318504041477109e-6,2.4756491788833596e-6,1.8373665570440033e-6
beta[83],2.0867507895492003e-6,3.1292173057133356e-6,1.2913826677112035e-6,2.406310347974169e-6,1.7927547909375356e-6
beta[84],2.026421290937244e-6,3.0719135270564592e-6,1.2472413489894475e-6,2.340050874683997e-6,1.7418557531349327e-6
beta[85],1.964793020396554e-6,3.036181578988009e-6,1.2016943535100407e-6,2.2708514634886613e-6,1.6865280123206488e-6
beta[86],1.8733217407643316e-6,2.9007219825436845e-6,1.1373967601973506e-6,2.1832728236156787e-6,1.6033727610757565e-6
beta[87],1.7934825529367855e-6,2.7922565384064797e-6,1.0614505107723483e-6,2.087630299195073e-6,1.5246487427150523e-6
beta[88],1.6917221942890884e-6,2.688729423744254e-6,9.843344371671759e-7,1.992175569935929e-6,1.4273337149163465e-6
beta[89],1.6073852866380443e-6,2.584784945160386e-6,9.20558494943216e-7,1.9042288023972936e-6,1.3460909055352086e-6
beta[90],1.5239051446708649e-6,2.4952806514242033e-6,8.495603439649108e-7,1.8224968424397106e-6,1.2581048685675586e-6
beta[91],1.4447023366398084e-6,2.434756086520599e-6,7.960890758913541e-7,1.7436342910751703e-6,1.1879594963627267e-6
beta[92],1.385309797594618e-6,2.3593076235453853e-6,7.566998078712562e-7,1.6742745109618924e-6,1.129889501496946e-6
beta[93],1.3456284723292741e-6,2.295923661888395e-6,7.170588989005382e-7,1.6293749745249053e-6,1.0931999074949971e-6
beta[94],1.3363895533322823e-6,2.2883264253019713e-6,6.882241020394646e-7,1.6254904759276552e-6,1.0757087992478323e-6
beta[95],1.3533148560055243e-6,2.3336321631190876e-6,6.916859746285249e-7,1.6515209259438742e-6,1.0877395437643843e-6
beta[96],1.3942095390773855e-6,2.348869764117894e-6,7.035488723098043e-7,1.6973263585125097e-6,1.1174675279898854e-6
beta[97],1.4618152396952667e-6,2.4302106403331915e-6,7.166480103858376e-7,1.76819768834119e-6,1.1695268271998775e-6
beta[98],1.5509675660058182e-6,2.5585657208015033e-6,7.622474949352747e-7,1.8646347115435632e-6,1.2451114811404666e-6
beta[99],1.6493112358617402e-6,2.6778191847760843e-6,8.258550542958915e-7,1.979202651754603e-6,1.3290914437064137e-6
beta[100],1.764199486680616e-6,2.8684324919613648e-6,9.220302714207296e-7,2.109548636619665e-6,1.4347674221791091e-6
beta[101],1.8927276062914095e-6,3.0204802444984747e-6,1.0049505210325704e-6,2.2457261999837155e-6,1.556344316167911e-6
beta[102],2.0233088243991516e-6,3.160629759791138e-6,1.1180039985898524e-6,2.3845792129021913e-6,1.6841353106250623e-6
beta[103],2.1582260975382713e-6,3.3317995348770486e-6,1.2147269932000982e-6,2.5261852994737466e-6,1.8107453553368836e-6
beta[104],2.274193596342388e-6,3.418574749844261e-6,1.3164710071849331e-6,2.640326568213016e-6,1.9253362274070385e-6
beta[105],2.3846229704960556e-6,3.5438089897634996e-6,1.4254959769078033e-6,2.75904127214545e-6,2.0309904833338233e-6
beta[106],2.4916149608451873e-6,3.6298501100050486e-6,1.5075863819054581e-6,2.8514426852256687e-6,2.1405814901453507e-6
beta[107],2.560110077493473e-6,3.7156335216481348e-6,1.618818338403131e-6,2.9176053043423195e-6,2.219669500300103e-6
beta[108],2.60822562784191e-6,3.7312523270731186e-6,1.6848603159846986e-6,2.9502476393093558e-6,2.2705153194659222e-6
beta[109],2.6097510501790307e-6,3.7259188043206666e-6,1.752276907331717e-6,2.945903869252949e-6,2.3021433281640923e-6
beta[110],2.566816571494821e-6,3.6298676955680453e-6,1.762037246922839e-6,2.8892527342566437e-6,2.267831364410079e-6
beta[111],2.444559296144203e-6,3.4389033498349953e-6,1.702054769110299e-6,2.7442105271190497e-6,2.176390647365558e-6
beta[112],2.269150900856344e-6,3.1545490708238348e-6,1.5811180902118838e-6,2.5389838336370216e-6,2.021116633706095e-6
beta[113],2.076535173794599e-6,2.8778386469698557e-6,1.446557813606126e-6,2.3209772922891534e-6,1.8463474975676864e-6
beta[114],1.903447903922864e-6,2.6731096502190918e-6,1.2907643538009151e-6,2.1362150364254823e-6,1.6859507478625e-6
beta[115],1.7706361496477741e-6,2.527485297891105e-6,1.1796663817454735e-6,2.0041172222770747e-6,1.5514296751739563e-6
beta[116],1.6676503201775279e-6,2.4284299987158645e-6,1.0676240104287687e-6,1.908245064123625e-6,1.4477542776558339e-6
beta[117],1.594678647626444e-6,2.3672638512235536e-6,9.873898527007536e-7,1.8368113688076297e-6,1.3709393198906078e-6
beta[118],1.5442868412862268e-6,2.369666540865774e-6,9.40509387099845e-7,1.802133056976201e-6,1.3131947681603654e-6
beta[119],1.5330227326453174e-6,2.3563359036378163e-6,8.9972257108033e-7,1.7906760419529081e-6,1.2945880961359728e-6
beta[120],1.5374323408085572e-6,2.385040464413592e-6,8.827916538450292e-7,1.8051023974313293e-6,1.2910646762012487e-6
beta[121],1.5605413310047925e-6,2.473549370605606e-6,8.846467588144276e-7,1.8428332142727996e-6,1.3042437864184124e-6
beta[122],1.6007780778272488e-6,2.5686699734414057e-6,9.074745628322706e-7,1.8970612206849957e-6,1.3355319322439419e-6
beta[123],1.6563802023350415e-6,2.657778093674408e-6,9.426665790257328e-7,1.9646037608176594e-6,1.3804785997306404e-6
beta[124],1.728405997467141e-6,2.766412716328745e-6,9.718761077975743e-7,2.0453067891343073e-6,1.4407805880159955e-6
beta[125],1.7996757892309758e-6,2.8469455035286204e-06,1.0083835212766564e-6,2.131718472676488e-6,1.4976370982890807e-6
beta[126],1.884808665934228e-6,2.9398678138386105e-6,1.0617886498572168e-6,2.2199831283190304e-6,1.571379937504836e-6
beta[127],1.9722302171704143e-6,3.0348344342735623e-6,1.1155167965335553e-6,2.3119225715797984e-6,1.647703665247953e-6
beta[128],2.061253813690575e-6,3.0877816777397548e-6,1.1719873439410946e-6,2.3954351673305734e-6,1.7331618812739187e-6
beta[129],2.141599907386977e-6,3.188873652153277e-6,1.2532772325782363e-6,2.4654846160522497e-6,1.8226531707432224e-6
beta[130],2.2124786058076194e-6,3.2603080975488595e-6,1.3214011532819802e-6,2.5331123957830634e-6,1.8983407428707078e-6
beta[131],2.2636241960462195e-6,3.3268249477568274e-6,1.3984119387126934e-6,2.5954057214223366e-6,1.952773423815211e-6
beta[132],2.2992468568357865e-6,3.3878259517066662e-6,1.4666327649254656e-6,2.627808232455728e-6,1.9917069988680115e-6
beta[133],2.322394382474935e-6,3.443837313899736e-6,1.5033775892767752e-6,2.65601851325265e-6,2.0234748015601867e-6
beta[134],2.324530257399861e-6,3.4329392996030347e-6,1.5260218138798802e-6,2.6575469517797397e-6,2.0313095497551453e-6
beta[135],2.302481380119013e-6,3.4300526063229726e-6,1.5215674934238795e-6,2.6359821153073576e-6,2.0123580023410607e-6
beta[136],2.2580391709772234e-6,3.3351781223199225e-6,1.5003123962331807e-6,2.584770657135288e-6,1.9736658388916947e-6
beta[137],2.1928494346070282e-6,3.1861351581851726e-6,1.4662657847409715e-6,2.5036697163437866e-6,1.9114959814950852e-6
beta[138],2.0996399381935725e-6,3.0280027628509337e-6,1.39274323536765e-6,2.393244734611205e-6,1.8321492968094311e-6
beta[139],2.0003589007632397e-6,2.8928336736863725e-6,1.3104453462437347e-6,2.2764267511324214e-6,1.7383930039047924e-6
beta[140],1.8811137574451208e-6,2.7175991330014266e-6,1.2218503821135824e-6,2.1403828920500563e-6,1.6325456596691941e-6
beta[141],1.7723565903989403e-6,2.5935882746882956e-6,1.1405457741582988e-6,2.0274650046375432e-6,1.5331300472209172e-6
beta[142],1.6825975746312141e-6,2.495669452892979e-6,1.0634125791695144e-6,1.9382964131899392e-6,1.4489226489217682e-6
beta[143],1.6182672562179793e-6,2.443370841341436e-6,1.028433377223346e-6,1.8750461836666994e-6,1.3910544329149292e-6
beta[144],1.5861306851387556e-6,2.4205142116509426e-6,9.89800927435975e-7,1.8381647680997633e-6,1.358576908325513e-6
beta[145],1.583521582530742e-6,2.4171724213439302e-6,9.744571841754795e-7,1.8392929404763795e-6,1.3535833060118428e-6
beta[146],1.6123302472657552e-6,2.4741404650572335e-6,9.744608834210247e-7,1.874032682654636e-6,1.3701096978923409e-6
beta[147],1.6520682937164828e-6,2.5742688243880928e-6,9.80606482209095e-7,1.9382485920642928e-6,1.3961658448243819e-6
beta[148],1.7292531210442e-6,2.7117321253125846e-6,9.932073970807876e-7,2.0367159644483017e-6,1.4474060397142083e-6
beta[149],1.8205219512749197e-6,2.9125250156112553e-6,1.0098660353492025e-6,2.157609388224528e-6,1.5055716477673517e-6
beta[150],1.910650823978976e-6,3.1997606188731223e-6,1.0273290091756505e-6,2.3057111680049336e-6,1.5610310126611268e-6
beta[151],1.9974340770386492e-6,3.5205873546565398e-6,1.0348120031535752e-6,2.4513492280830063e-6,1.6130426342095283e-6
beta[152],2.084789319594524e-6,3.9710847789778034e-6,1.0460600517836235e-6,2.6239599022425337e-6,1.6590508812149267e-6
beta[153],2.17744373526345e-6,4.586462914840358e-6,1.0381908966129296e-6,2.8020210206860967e-6,1.701450783505609e-6
beta[154],2.2563319838897607e-6,5.061208703418329e-6,1.0212554902923231e-6,2.981962384626654e-6,1.7296336570349934e-6
beta[155],2.322850509935493e-6,5.614625763214961e-6,9.793957736128789e-7,3.1277952318568713e-6,1.7400586255968044e-6
escape_prob[1],0.9993296881989071,0.9995758994851337,0.9989921631244421,0.99941849849917,0.9992315855310004
escape_prob[2],0.9982056430708452,0.9990402911281209,0.9971967439224858,0.9984883464320862,0.9979021004641813
escape_prob[3],0.9957544823724588,0.9980186263622124,0.9933735853598453,0.9966051607473372,0.9949147323466344
escape_prob[4],0.9916505137217837,0.9959659023947572,0.9877218774944396,0.9931593708831401,0.9904197058216236
escape_prob[5],0.9868235313432576,0.9927512483688321,0.9827367708782093,0.988597359051207,0.985296953761148
escape_prob[6],0.9836155898489165,0.9891420498297941,0.9791674222482241,0.9853561138211105,0.9822082610787982
escape_prob[7],0.9838051483954,0.9881938635324451,0.9789534997240368,0.9851841132426844,0.9823735583875698
escape_prob[8],0.9868345739739581,0.9908523966002684,0.9831678182971354,0.9881494501341112,0.9856474822254777
escape_prob[9],0.9912177495478853,0.994061034715034,0.987880064630199,0.992264509914664,0.9899980211150394
escape_prob[10],0.9948405811833014,0.9969920182926584,0.9914211889329424,0.9955968582808099,0.9937984117876715
escape_prob[11],0.9971103592532491,0.9989448032844422,0.9939433101008754,0.9977374850199436,0.9963228742653023
escape_prob[12],0.9985132251364761,0.999658176715227,0.9962871792786908,0.9989402748195779,0.9978589762822485
escape_prob[13],0.999274599373551,0.9998850615993926,0.99755605239076806,0.9995410722072534,0.9987185812944026
escape_prob[14],0.9996536369829077,0.9999598182285843,0.9983495977224612,0.9998040145889563,0.9992760714566246
escape_prob[15],0.999838062055042,0.9999853956828856,0.9989050414395088,0.9999170911345371,0.999587662364289
escape_prob[16],0.9999222813295964,0.9999940986122527,0.9992454216543527,0.9999624000756996,0.999751919972407
escape_prob[17],0.999959077485053,0.9999967216324377,0.999490981573892,0.9999819099665465,0.9998405522379054
escape_prob[18],0.9999759164902586,0.9999975705927221,0.999625842292321,0.9999902433248323,0.9998980045617512
escape_prob[19],0.9999838897189596,0.9999985368785623,0.9997180237658221,0.9999935549429546,0.9999345809790794
escape_prob[20],0.9999875229807398,0.999997736055093,0.9997779176042795,0.9999948538194412,0.9999536988024339
escape_prob[21],0.9999893745650812,0.9999987345913656,0.9998252719147472,0.9999957447848604,0.9999642759458514
escape_prob[22],0.9999900557494726,0.9999986962307,0.9998581528703174,0.9999960148330491,0.9999677472602565
escape_prob[23],0.9999899892989534,0.9999986141277138,0.9998790692480863,0.9999958148492257,0.9999688765077279
escape_prob[24],0.9999893677934703,0.9999984161030887,0.99989046677863,0.9999951083477713,0.9999672893205488
escape_prob[25],0.9999882476282838,0.9999969678179219,0.9998911438644702,0.9999939155123249,0.9999634119676271
escape_prob[26],0.9999869560526283,0.9999981374658097,0.999880593279493,0.9999936702273051,0.9999585376723292
escape_prob[27],0.9999853587042962,0.9999980432600555,0.9998574884522164,0.9999930349495565,0.99995332799740555
escape_prob[28],0.9999832293574651,0.9999976880382809,0.99982789714301,0.9999918487103008,0.9999482875618777
escape_prob[29],0.9999805572374477,0.9999957771405332,0.9998079955905815,0.9999900649696147,0.999943152684464
escape_prob[30],0.9999780533264971,0.9999953996579835,0.9997984335921484,0.9999883020242432,0.9999385878075933
escape_prob[31],0.9999757933915905,0.9999951102377511,0.9997950618991311,0.9999868455705081,0.9999344674627575
escape_prob[32],0.9999737620591777,0.9999948643810926,0.9997999021278713,0.999985894429858,0.9999333663467815
escape_prob[33],0.999972735391875,0.9999949224445254,0.9998094598538632,0.999985465814742,0.9999354120576239
escape_prob[34],0.9999728921498581,0.9999949540491959,0.9998260913806283,0.999985375467984,0.9999407896938743
escape_prob[35],0.999974621107895,0.9999951546501892,0.9998470634914104,0.9999861220239733,0.9999484576627204
escape_prob[36],0.9999779073985434,0.9999955667236282,0.9998727242943296,0.9999875137928386,0.9999569963165673
escape_prob[37],0.9999817877750963,0.9999961785808845,0.9998945684648893,0.9999895309521909,0.9999643009418806
escape_prob[38],0.9999851630741914,0.999996720290592,0.9999097844770258,0.999991597191632,0.9999713331952569
escape_prob[39],0.9999879031076875,0.9999971174015186,0.999923372067079,0.999993216400617,0.9999770917902103
escape_prob[40],0.9999900946105593,0.9999973800109695,0.9999368818274809,0.9999943935281127,0.9999812793258553
escape_prob[41],0.9999918498034701,0.9999976094929576,0.999949100933391,0.9999953222271509,0.9999840222295867
escape_prob[42],0.9999929651268848,0.9999987307174735,0.9999567361069234,0.9999963110768586,0.9999858187602555
escape_prob[43],0.9999935106287424,0.9999987863025558,0.9999620633133899,0.9999966249008001,0.999987012392052
escape_prob[44],0.9999934692521291,0.9999986916403316,0.9999641909470983,0.9999963860349252,0.999987684117141
escape_prob[45],0.9999929563039383,0.9999975546235282,0.9999659253937321,0.9999955693915943,0.999987828114456
escape_prob[46],0.9999927120673182,0.9999984563182742,0.9999672254165745,0.9999956626343873,0.9999877796923455
escape_prob[47],0.9999924557198977,0.9999972721592735,0.9999680788742311,0.9999951777354845,0.9999874783414888
escape_prob[48],0.9999922583403809,0.9999983343067897,0.9999690078903158,0.9999954485791462,0.9999870528022095
escape_prob[49],0.9999919431254114,0.9999982204552703,0.9999687038445976,0.9999952082016013,0.9999866562731758
escape_prob[50],0.9999912365187535,0.9999967448153011,0.9999675645052369,0.9999943463730407,0.9999862507801315
escape_prob[51],0.9999907046262033,0.9999979975490397,0.9999660555206019,0.9999943850075259,0.9999853915151247
escape_prob[52],0.9999899451672561,0.9999978820847288,0.9999649880237355,0.9999939657432315,0.9999841240381201
escape_prob[53],0.9999885519898566,0.9999975942297931,0.999964009866553,0.9999929244071571,0.9999825372928481
escape_prob[54],0.9999867190120069,0.9999956544961895,0.9999628096703389,0.9999912483704183,0.9999803753015033
escape_prob[55],0.999984497415813,0.9999952580061918,0.9999601133890484,0.9999896488031148,0.9999776842946501
escape_prob[56],0.9999822730683063,0.999994884075313,0.9999568991627917,0.999988123284317,0.9999749978082941
escape_prob[57],0.999980382178117,0.9999943928599303,0.9999534091652205,0.9999869170205066,0.9999724366439315
escape_prob[58],0.9999790677861891,0.9999937740154025,0.9999508322106997,0.9999859037863629,0.9999704365117739
escape_prob[59],0.9999788649963326,0.999993752910209,0.9999499289746101,0.999985860637824,0.9999699400553924
escape_prob[60],0.9999795240778748,0.9999940545935027,0.999951148900341,0.9999864806886757,0.9999707470948336
escape_prob[61],0.999981216742677,0.9999943890599667,0.9999541269635716,0.9999875333300767,0.9999729267978588
escape_prob[62],0.9999834659608678,0.9999950559304872,0.9999576408246654,0.9999890152555903,0.9999762444414416
escape_prob[63],0.9999860976779814,0.999996009158416,0.9999615826957728,0.9999908210762658,0.9999798515587085
escape_prob[64],0.9999886345301867,0.9999966552967493,0.9999656656431473,0.999992582396495,0.9999830976982669
escape_prob[65],0.9999906863567161,0.9999971907186941,0.9999706060593307,0.9999939854445701,0.9999858710920976
escape_prob[66],0.9999920628833281,0.9999974161687217,0.9999744340392668,0.9999948901962716,0.9999877594496271
escape_prob[67],0.9999930736910001,0.9999975789296142,0.9999771239302372,0.999995504898801,0.9999892483751062
escape_prob[68],0.9999937122653786,0.9999976816003261,0.9999793882944037,0.9999958274714535,0.9999903609061058
escape_prob[69],0.9999940499926819,0.9999977497840662,0.9999809799662093,0.9999960296638455,0.9999910426943753
escape_prob[70],0.9999944285506726,0.9999978298385719,0.9999820800759807,0.999996257992059,0.9999915353480353
escape_prob[71],0.9999948321891261,0.999998770420499,0.9999828271624476,0.9999968449848948,0.9999918314897445
escape_prob[72],0.9999947882397953,0.9999987053060925,0.9999827534544239,0.9999967621425521,0.9999917972069648
escape_prob[73],0.9999942261501829,0.9999975715152802,0.9999822189210705,0.9999960019203703,0.9999913140583684
escape_prob[74],0.9999938585006709,0.9999984823829267,0.99998126382465935,0.99999609182265,0.999990625199467
escape_prob[75],0.9999932844371991,0.9999973280627225,0.9999800911909442,0.9999954593888968,0.9999900100152809
escape_prob[76],0.9999928767044006,0.9999983010994247,0.9999791379299386,0.9999953946181636,0.9999892619230306
escape_prob[77],0.9999922716194514,0.9999970497442755,0.9999782192397886,0.9999948335888075,0.9999885943899846
escape_prob[78],0.9999917359077508,0.9999969298998803,0.9999769390612891,0.9999944519795055,0.9999878710595526
escape_prob[79],0.9999913059181527,0.9999968718929544,0.9999757569445936,0.9999942243076717,0.999987196323245
